date,state,deaths
3/25/2020 12:00:00 AM,Alabama,1
3/26/2020 12:00:00 AM,Alabama,1
3/27/2020 12:00:00 AM,Alabama,1
3/28/2020 12:00:00 AM,Alabama,1
3/29/2020 12:00:00 AM,Alabama,1
3/30/2020 12:00:00 AM,Alabama,1
3/30/2020 12:00:00 AM,Alabama,2
3/30/2020 12:00:00 AM,Alabama,4
3/31/2020 12:00:00 AM,Alabama,1
3/31/2020 12:00:00 AM,Alabama,2
3/31/2020 12:00:00 AM,Alabama,4
4/1/2020 12:00:00 AM,Alabama,1
4/1/2020 12:00:00 AM,Alabama,2
4/1/2020 12:00:00 AM,Alabama,3
4/1/2020 12:00:00 AM,Alabama,4
4/2/2020 12:00:00 AM,Alabama,1
4/2/2020 12:00:00 AM,Alabama,2
4/2/2020 12:00:00 AM,Alabama,3
4/2/2020 12:00:00 AM,Alabama,4
4/2/2020 12:00:00 AM,Alabama,5
4/3/2020 12:00:00 AM,Alabama,1
4/3/2020 12:00:00 AM,Alabama,2
4/3/2020 12:00:00 AM,Alabama,3
4/3/2020 12:00:00 AM,Alabama,4
4/3/2020 12:00:00 AM,Alabama,5
4/3/2020 12:00:00 AM,Alabama,6
4/4/2020 12:00:00 AM,Alabama,1
4/4/2020 12:00:00 AM,Alabama,2
4/4/2020 12:00:00 AM,Alabama,3
4/4/2020 12:00:00 AM,Alabama,5
4/4/2020 12:00:00 AM,Alabama,6
4/4/2020 12:00:00 AM,Alabama,9
4/5/2020 12:00:00 AM,Alabama,1
4/5/2020 12:00:00 AM,Alabama,2
4/5/2020 12:00:00 AM,Alabama,3
4/5/2020 12:00:00 AM,Alabama,5
4/5/2020 12:00:00 AM,Alabama,6
4/5/2020 12:00:00 AM,Alabama,9
4/6/2020 12:00:00 AM,Alabama,1
4/6/2020 12:00:00 AM,Alabama,2
4/6/2020 12:00:00 AM,Alabama,3
4/6/2020 12:00:00 AM,Alabama,5
4/6/2020 12:00:00 AM,Alabama,6
4/6/2020 12:00:00 AM,Alabama,7
4/6/2020 12:00:00 AM,Alabama,11
4/7/2020 12:00:00 AM,Alabama,1
4/7/2020 12:00:00 AM,Alabama,2
4/7/2020 12:00:00 AM,Alabama,3
4/7/2020 12:00:00 AM,Alabama,4
4/7/2020 12:00:00 AM,Alabama,5
4/7/2020 12:00:00 AM,Alabama,8
4/7/2020 12:00:00 AM,Alabama,12
4/8/2020 12:00:00 AM,Alabama,1
4/8/2020 12:00:00 AM,Alabama,2
4/8/2020 12:00:00 AM,Alabama,3
4/8/2020 12:00:00 AM,Alabama,4
4/8/2020 12:00:00 AM,Alabama,5
4/8/2020 12:00:00 AM,Alabama,8
4/8/2020 12:00:00 AM,Alabama,14
4/9/2020 12:00:00 AM,Alabama,1
4/9/2020 12:00:00 AM,Alabama,2
4/9/2020 12:00:00 AM,Alabama,3
4/9/2020 12:00:00 AM,Alabama,5
4/9/2020 12:00:00 AM,Alabama,6
4/9/2020 12:00:00 AM,Alabama,8
4/9/2020 12:00:00 AM,Alabama,10
4/9/2020 12:00:00 AM,Alabama,14
4/10/2020 12:00:00 AM,Alabama,1
4/10/2020 12:00:00 AM,Alabama,2
4/10/2020 12:00:00 AM,Alabama,3
4/10/2020 12:00:00 AM,Alabama,4
4/10/2020 12:00:00 AM,Alabama,5
4/10/2020 12:00:00 AM,Alabama,6
4/10/2020 12:00:00 AM,Alabama,8
4/10/2020 12:00:00 AM,Alabama,11
4/10/2020 12:00:00 AM,Alabama,14
4/11/2020 12:00:00 AM,Alabama,1
4/11/2020 12:00:00 AM,Alabama,2
4/11/2020 12:00:00 AM,Alabama,3
4/11/2020 12:00:00 AM,Alabama,4
4/11/2020 12:00:00 AM,Alabama,5
4/11/2020 12:00:00 AM,Alabama,7
4/11/2020 12:00:00 AM,Alabama,8
4/11/2020 12:00:00 AM,Alabama,15
4/12/2020 12:00:00 AM,Alabama,1
4/12/2020 12:00:00 AM,Alabama,2
4/12/2020 12:00:00 AM,Alabama,3
4/12/2020 12:00:00 AM,Alabama,4
4/12/2020 12:00:00 AM,Alabama,5
4/12/2020 12:00:00 AM,Alabama,7
4/12/2020 12:00:00 AM,Alabama,8
4/12/2020 12:00:00 AM,Alabama,15
4/13/2020 12:00:00 AM,Alabama,1
4/13/2020 12:00:00 AM,Alabama,2
4/13/2020 12:00:00 AM,Alabama,3
4/13/2020 12:00:00 AM,Alabama,4
4/13/2020 12:00:00 AM,Alabama,5
4/13/2020 12:00:00 AM,Alabama,7
4/13/2020 12:00:00 AM,Alabama,8
4/13/2020 12:00:00 AM,Alabama,9
4/13/2020 12:00:00 AM,Alabama,15
